truck_id,torque,gear,elevation,speed,rpm,voltage,estimated_weight_tonnes,expected_tpt,actual_tpt,stress_index,power_density,rpm_per_gear,status,reasons,actual_weight
truck_003,336.67,5,-1.8796271911512696,29.36,1269.7,28.2,13.78,24.43,24.43,-21.55,1.59,253.94,Normal,[],13.56
truck_003,97.6,2,9.439975445336495,76.31,1200.93,28.95,4.0,24.43,24.43,12.07,0.42,600.47,Overload,['High RPM per Gear'],4.25
truck_001,122.23,1,5.495493205167783,43.99,1256.0,28.84,6.3,19.39,19.39,15.27,0.56,1256.0,Overload,['High RPM per Gear'],7.65
truck_003,240.93,6,-1.0065243568328053,50.85,1910.9,23.28,9.86,24.43,24.43,-4.77,2.07,318.48,Normal,[],9.47
truck_003,294.22,1,14.312640661491187,68.5,1565.54,23.59,12.04,24.43,24.43,61.47,2.05,1565.54,Overload,['High RPM per Gear'],12.16
truck_003,297.73,4,4.903538202225404,22.06,2291.18,24.55,12.19,24.43,24.43,66.17,2.91,572.8,Overload,['High Power Density'],12.2
truck_002,189.64,5,14.391692555291172,66.51,2327.4,28.37,9.26,20.48,20.48,41.04,1.63,465.48,Normal,[],9.1
truck_002,246.72,6,-1.080342751617096,22.71,1590.4,25.33,12.05,20.48,20.48,-11.73,1.62,265.07,Normal,[],12.73
truck_002,219.16,4,5.85392166316497,28.46,2162.64,23.45,10.7,20.48,20.48,45.09,2.12,540.66,Normal,[],10.48
truck_003,222.7,1,-1.025686369316552,20.33,2178.55,27.24,9.12,24.43,24.43,-11.24,1.87,2178.55,Overload,['High RPM per Gear'],9.08
truck_003,336.35,2,-2.6826188094974057,71.79,1947.96,24.99,13.77,24.43,24.43,-12.57,2.75,973.98,Overload,"['High Power Density', 'High RPM per Gear']",13.48
truck_003,190.62,5,9.59212356676128,58.25,2264.66,25.83,7.8,24.43,24.43,31.39,1.75,452.93,Normal,[],7.73
truck_001,308.34,6,4.875911927287815,51.36,1713.05,23.15,15.9,19.39,19.39,29.27,2.39,285.51,Normal,[],15.66
truck_001,131.86,1,1.287119621526534,50.51,2289.08,24.5,6.8,19.39,19.39,3.36,1.29,2289.08,Overload,['High RPM per Gear'],6.42
truck_001,219.4,4,13.59395304685146,68.49,1960.08,28.23,11.32,19.39,19.39,43.55,1.6,490.02,Normal,[],10.48
truck_002,307.23,2,-2.558240905986533,41.38,2288.19,24.63,15.0,20.48,20.48,-19.0,2.99,1144.1,Overload,"['High Power Density', 'High RPM per Gear']",14.6
truck_003,225.89,6,5.214946051551316,45.04,1466.53,23.72,9.25,24.43,24.43,26.15,1.46,244.42,Normal,[],9.13
truck_003,149.67,1,3.076723421160816,23.89,1504.7,24.48,6.13,24.43,24.43,19.27,0.96,1504.7,Overload,['High RPM per Gear'],6.02
truck_003,232.77,1,0.3356202855056995,78.6,1693.24,23.2,9.53,24.43,24.43,0.99,1.78,1693.24,Overload,['High RPM per Gear'],9.97
truck_001,215.24,6,-2.102102558175538,49.37,2382.78,24.45,11.1,19.39,19.39,-9.16,2.2,397.13,Normal,[],11.61
truck_003,328.91,5,7.646116611871589,58.01,1842.93,23.54,13.46,24.43,24.43,43.35,2.7,368.59,Overload,['High Power Density'],13.14
truck_001,103.54,3,-1.2696297920029154,22.45,1909.07,27.07,5.34,19.39,19.39,-5.86,0.76,636.36,Overload,['High RPM per Gear'],5.81
truck_003,300.84,4,13.81046528979208,43.85,1821.3,28.03,12.31,24.43,24.43,94.74,2.05,455.33,Normal,[],12.53
truck_003,208.67,1,-0.8185675852457264,52.49,2034.94,24.37,8.54,24.43,24.43,-3.25,1.82,2034.94,Overload,['High RPM per Gear'],8.09
truck_002,306.19,1,-3.137944643882016,73.83,2280.5,26.8,14.95,20.48,20.48,-13.01,2.73,2280.5,Overload,"['High Power Density', 'High RPM per Gear']",15.79
truck_001,143.64,3,9.519113577404788,73.83,2264.5,27.68,7.41,19.39,19.39,18.52,1.23,754.83,Overload,['High RPM per Gear'],7.35
truck_003,378.54,6,-4.816058967667408,26.09,1996.2,23.03,15.49,24.43,24.43,-69.88,3.44,332.7,Overload,['High Power Density'],15.23
truck_002,227.8,6,3.968482859724947,79.67,1411.11,23.11,11.12,20.48,20.48,11.35,1.46,235.19,Normal,[],10.58
truck_002,169.59,3,8.152257846006867,54.1,1312.41,25.21,8.28,20.48,20.48,25.56,0.92,437.47,Normal,[],7.9
truck_003,183.83,6,14.460211095048912,43.59,2270.46,26.79,7.52,24.43,24.43,60.99,1.63,378.41,Normal,[],7.01
truck_002,181.6,1,-1.09514024403911,63.35,1536.93,23.15,8.87,20.48,20.48,-3.14,1.26,1536.93,Overload,['High RPM per Gear'],8.2
truck_001,99.43,4,13.809171687058283,77.24,2297.84,25.22,5.13,19.39,19.39,17.78,0.95,574.46,Normal,[],4.52
truck_001,305.38,3,14.606631674320912,24.52,1566.84,24.15,15.75,19.39,19.39,181.91,2.08,522.28,Overload,['High Stress Index'],15.44
truck_001,131.86,2,6.136025249167004,76.17,2035.24,26.42,6.8,19.39,19.39,10.62,1.06,1017.62,Overload,['High RPM per Gear'],7.8
truck_002,243.64,1,11.97339589849349,28.2,2050.69,26.32,11.9,20.48,20.48,103.46,1.99,2050.69,Overload,['High RPM per Gear'],11.38
truck_002,281.34,3,0.1241388718891611,56.69,1297.91,23.03,13.74,20.48,20.48,0.62,1.66,432.64,Normal,[],13.71
truck_001,121.11,6,12.800106836351326,40.28,1650.7,23.56,6.25,19.39,19.39,38.49,0.89,275.12,Normal,[],6.33
truck_003,287.86,3,4.311960362649202,52.56,1543.85,26.54,11.78,24.43,24.43,23.62,1.75,514.62,Normal,[],12.06
truck_002,123.51,5,0.430858316394838,77.92,1748.72,28.05,6.03,20.48,20.48,0.68,0.81,349.74,Normal,[],7.0
truck_002,219.05,4,-2.345091555140604,78.17,2057.51,23.25,10.7,20.48,20.48,-6.57,2.03,514.38,Normal,[],10.49
truck_003,216.24,2,14.252968293558505,70.16,2035.17,25.45,8.85,24.43,24.43,43.93,1.81,1017.58,Overload,['High RPM per Gear'],9.2
truck_002,315.24,2,-0.2042528168519357,25.63,1419.44,28.61,15.39,20.48,20.48,-2.51,1.64,709.72,Overload,['High RPM per Gear'],14.98
truck_001,303.51,6,9.600786331236373,22.86,1879.24,23.95,15.65,19.39,19.39,127.45,2.49,313.21,Normal,[],15.46
truck_002,101.97,6,-3.1640186837311624,25.65,1573.7,28.88,4.98,20.48,20.48,-12.58,0.58,262.28,Normal,[],4.17
truck_001,187.7,4,-1.5359626017996963,46.03,1678.21,26.7,9.68,19.39,19.39,-6.26,1.24,419.55,Normal,[],9.69
truck_001,274.55,4,2.4922522925294244,57.55,1803.76,28.14,14.16,19.39,19.39,11.89,1.84,450.94,Normal,[],14.64
truck_001,242.38,2,-4.469773789167563,55.15,2328.28,26.45,12.5,19.39,19.39,-19.65,2.23,1164.14,Overload,['High RPM per Gear'],12.21
truck_002,224.31,1,4.1650578098303335,52.74,2329.76,25.32,10.95,20.48,20.48,17.72,2.16,2329.76,Overload,['High RPM per Gear'],10.88
truck_001,222.46,4,-2.984439972451467,21.09,1313.33,27.1,11.47,19.39,19.39,-31.47,1.13,328.33,Normal,[],11.82
truck_001,221.45,5,11.89750621938909,21.4,2177.36,24.69,11.42,19.39,19.39,123.14,2.05,435.47,Normal,[],11.87
truck_002,262.15,4,3.358920634311575,78.05,1857.57,25.54,12.8,20.48,20.48,11.28,2.0,464.39,Normal,[],12.36
truck_003,391.17,4,2.440361715855664,66.58,1608.96,28.58,16.01,24.43,24.43,14.34,2.31,402.24,Normal,[],15.89
truck_001,144.52,3,-2.937522623281348,74.15,1806.3,27.96,7.45,19.39,19.39,-5.73,0.98,602.1,Overload,['High RPM per Gear'],6.86
truck_002,163.65,3,2.784033574683262,20.65,2286.46,23.55,7.99,20.48,20.48,22.06,1.66,762.15,Overload,['High RPM per Gear'],7.57
truck_003,376.21,2,7.636744243395984,46.91,1551.85,24.97,15.4,24.43,24.43,61.25,2.45,775.93,Overload,['High RPM per Gear'],15.48
truck_003,180.33,5,10.83158087451697,67.38,1309.45,25.97,7.38,24.43,24.43,28.99,0.95,261.89,Normal,[],6.55
truck_003,407.82,4,8.76060020350078,70.22,2240.24,28.03,16.69,24.43,24.43,50.88,3.41,560.06,Overload,['High Power Density'],15.95
truck_002,258.24,2,2.9330320390850373,73.51,1375.93,26.08,12.61,20.48,20.48,10.3,1.43,687.96,Overload,['High RPM per Gear'],12.41
truck_002,309.92,4,-0.2662961263584247,74.46,1910.27,25.1,15.13,20.48,20.48,-1.11,2.47,477.57,Normal,[],15.84
truck_003,224.85,4,6.1680849947161,45.45,2287.63,23.67,9.2,24.43,24.43,30.51,2.28,571.91,Normal,[],9.78
truck_003,186.53,4,-2.6236416746385616,27.05,1979.05,27.48,7.64,24.43,24.43,-18.09,1.41,494.76,Normal,[],7.04
truck_001,113.67,1,2.4974115904740817,37.14,2242.32,24.34,5.86,19.39,19.39,7.64,1.1,2242.32,Overload,['High RPM per Gear'],6.85
truck_002,279.5,5,-4.131984334036545,75.48,2302.94,24.52,13.65,20.48,20.48,-15.3,2.75,460.59,Overload,['High Power Density'],13.63
truck_003,385.77,2,-1.6756913618149416,33.01,1553.39,28.97,15.79,24.43,24.43,-19.58,2.17,776.7,Overload,['High RPM per Gear'],15.63
truck_002,224.41,4,1.713201295939264,30.18,1976.22,25.33,10.96,20.48,20.48,12.74,1.83,494.05,Normal,[],11.01
truck_002,157.04,5,14.48789615332333,79.17,2037.79,26.22,7.67,20.48,20.48,28.74,1.28,407.56,Normal,[],7.19
truck_001,158.09,5,13.21854368987685,69.35,2339.76,27.35,8.15,19.39,19.39,30.13,1.42,467.95,Normal,[],8.93
truck_003,373.98,2,13.654569667080269,71.96,1254.26,23.16,15.31,24.43,24.43,70.96,2.12,627.13,Overload,['High RPM per Gear'],15.03
truck_001,261.9,3,6.882614307042703,42.85,2363.9,28.05,13.51,19.39,19.39,42.06,2.31,787.97,Overload,['High RPM per Gear'],13.33
truck_001,92.2,1,3.296390046753304,36.4,1267.65,28.19,4.76,19.39,19.39,8.35,0.43,1267.65,Overload,['High RPM per Gear'],4.76
truck_001,205.09,5,9.52241688143696,65.42,1653.42,24.45,10.58,19.39,19.39,29.85,1.45,330.68,Normal,[],10.41
truck_001,109.55,3,0.4946359405181759,32.43,2253.86,27.54,5.65,19.39,19.39,1.67,0.94,751.29,Overload,['High RPM per Gear'],5.55
truck_002,173.27,2,4.524213935780283,69.88,1569.33,27.9,8.46,20.48,20.48,11.22,1.02,784.67,Overload,['High RPM per Gear'],8.3
truck_001,90.65,3,3.0696573242479417,28.04,1234.54,27.53,4.67,19.39,19.39,9.92,0.43,411.51,Normal,[],5.06
truck_001,228.36,2,6.798353737092661,43.53,1724.97,28.42,11.78,19.39,19.39,35.66,1.45,862.48,Overload,['High RPM per Gear'],11.67
truck_001,197.65,4,0.95918903083901,51.42,2037.17,27.78,10.19,19.39,19.39,3.69,1.52,509.29,Normal,[],10.17
truck_002,292.6,5,14.600651505709545,49.56,1594.5,26.8,14.29,20.48,20.48,86.21,1.82,318.9,Normal,[],15.12
truck_003,119.4,1,4.20238317967144,55.09,1680.36,27.19,4.89,24.43,24.43,9.11,0.77,1680.36,Overload,['High RPM per Gear'],4.91
truck_001,306.78,2,7.038707910819204,33.43,2186.15,25.07,15.82,19.39,19.39,64.59,2.8,1093.07,Overload,"['High Power Density', 'High RPM per Gear']",14.76
truck_002,122.23,5,5.974306184148173,52.07,1627.19,28.37,5.97,20.48,20.48,14.03,0.73,325.44,Normal,[],6.12
truck_001,193.68,1,4.622907881125864,61.27,1813.99,23.94,9.99,19.39,19.39,14.61,1.54,1813.99,Overload,['High RPM per Gear'],10.04
truck_001,78.59,4,11.124025595861228,64.9,1421.43,24.26,4.05,19.39,19.39,13.47,0.48,355.36,Normal,[],4.03
truck_003,376.3,6,4.250694322662959,64.85,1244.02,24.51,15.4,24.43,24.43,24.67,2.0,207.34,Normal,[],15.09
truck_003,291.37,6,9.992324640171748,21.83,2240.66,25.12,11.93,24.43,24.43,133.38,2.72,373.44,Overload,['High Power Density'],12.25
truck_003,161.24,2,6.279301840376728,70.44,1307.05,26.21,6.6,24.43,24.43,14.37,0.84,653.52,Overload,['High RPM per Gear'],6.91
truck_001,270.55,4,4.479398828611123,41.31,1978.59,25.88,13.95,19.39,19.39,29.34,2.17,494.65,Normal,[],14.69
truck_003,334.57,4,-2.448393944088725,37.03,1635.7,26.88,13.7,24.43,24.43,-22.12,2.13,408.92,Normal,[],12.84
truck_002,155.88,3,14.730304975859593,56.35,1484.67,23.61,7.61,20.48,20.48,40.75,1.03,494.89,Normal,[],6.93
truck_002,183.6,6,0.7019033738769416,30.4,2276.12,23.48,8.96,20.48,20.48,4.24,1.86,379.35,Normal,[],8.38
truck_003,102.65,5,14.647572338172129,26.72,1677.43,28.82,4.2,24.43,24.43,56.27,0.63,335.49,Normal,[],4.22
truck_003,330.01,3,11.417229463067052,63.11,1842.04,25.86,13.51,24.43,24.43,59.71,2.46,614.01,Overload,['High RPM per Gear'],13.8
truck_001,251.28,6,14.359881330084686,62.66,1439.41,27.42,12.96,19.39,19.39,57.59,1.38,239.9,Normal,[],13.23
truck_003,302.92,6,-1.9127456945159536,48.87,1839.11,23.31,12.4,24.43,24.43,-11.86,2.5,306.52,Overload,['High Power Density'],12.49
truck_002,194.95,5,-3.732500590544645,79.4,1586.82,27.86,9.52,20.48,20.48,-9.16,1.16,317.36,Normal,[],9.45
truck_001,133.76,3,1.9773653308599053,75.77,2196.74,28.79,6.9,19.39,19.39,3.49,1.07,732.25,Overload,['High RPM per Gear'],5.67
truck_002,305.15,3,13.766809136420758,30.87,1279.8,27.45,14.9,20.48,20.48,136.07,1.49,426.6,Normal,[],15.2
truck_002,99.53,5,-0.9674535990451094,29.82,1397.12,27.89,4.86,20.48,20.48,-3.23,0.52,279.42,Normal,[],4.58
